model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,car_age,is_automatic,is_manual,is_semi_auto,fuelType_grouped,model_encoded,transmission_encoded,fuelType_grouped_encoded,price_class,cluster
5 Series,2012,5748,Automatic,88081,Diesel,94,41.3,3.5,11,1,0,0,Diesel,4,0,0,0,0
X7,2017,62629,Automatic,54441,Diesel,147,59.4,2.5,6,1,0,0,Diesel,13,0,0,2,1
X5,2016,42002,Automatic,80220,Diesel,258,41.3,2.0,7,1,0,0,Diesel,11,0,0,1,1
X1,2012,15483,Automatic,13651,Diesel,29,48.9,5.0,11,1,0,0,Diesel,7,0,0,0,0
3 Series,2015,26743,Automatic,133737,Petrol,17,24.5,3.0,8,1,0,0,Petrol,2,0,4,1,0
3 Series,2013,50849,Manual,7918,Petrol,186,32.0,2.5,10,0,1,0,Petrol,2,1,4,2,0
1 Series,2020,26964,Automatic,24007,Diesel,211,31.0,4.0,3,1,0,0,Diesel,0,0,0,1,1
4 Series,2014,83136,Semi-Auto,26035,Hybrid,34,43.0,2.5,9,0,0,1,Hybrid,3,2,2,2,0
X1,2020,54104,Automatic,90352,Diesel,146,33.2,3.0,3,1,0,0,Diesel,7,0,0,2,1
X3,2014,50723,Automatic,77749,Diesel,281,45.6,4.0,9,1,0,0,Diesel,9,0,0,2,0
1 Series,2016,26944,Semi-Auto,115049,Petrol,34,47.6,2.5,7,0,0,1,Petrol,0,2,4,1,0
X7,2020,37693,Automatic,89148,Diesel,75,21.3,3.5,3,1,0,0,Diesel,13,0,0,1,1
2 Series,2014,37806,Manual,23211,Diesel,71,45.6,2.0,9,0,1,0,Diesel,1,1,0,1,0
3 Series,2020,82789,Manual,27866,Petrol,248,24.7,3.0,3,0,1,0,Petrol,2,1,4,2,1
3 Series,2012,31021,Automatic,8344,Diesel,56,38.6,2.5,11,1,0,0,Diesel,2,0,0,1,0
3 Series,2019,80682,Automatic,69737,Other,9,49.1,2.0,4,1,0,0,Other,2,0,3,2,1
3 Series,2014,64856,Automatic,71288,Diesel,212,48.1,2.0,9,1,0,0,Diesel,2,0,0,2,0
7 Series,2016,8559,Automatic,63546,Petrol,236,32.0,2.5,7,1,0,0,Petrol,6,0,4,0,0
5 Series,2014,56644,Automatic,108879,Diesel,233,30.9,3.0,9,1,0,0,Diesel,4,0,0,2,0
3 Series,2014,25719,Manual,11327,Petrol,222,37.6,3.0,9,0,1,0,Petrol,2,1,4,1,0
X1,2018,76988,Automatic,28608,Petrol,103,27.5,4.0,5,1,0,0,Petrol,7,0,4,2,1
1 Series,2012,63045,Automatic,89534,Hybrid,97,59.0,2.5,11,1,0,0,Hybrid,0,0,2,2,0
3 Series,2022,56365,Automatic,117209,Petrol,225,33.8,3.5,1,1,0,0,Petrol,2,0,4,2,1
5 Series,2015,14211,Semi-Auto,19007,Petrol,221,56.9,1.5,8,0,0,1,Petrol,4,2,4,0,0
5 Series,2010,66508,Automatic,26257,Diesel,279,56.3,2.5,13,1,0,0,Diesel,4,0,0,2,0
X5,2019,3000,Automatic,86054,Diesel,42,34.6,1.5,4,1,0,0,Diesel,11,0,0,0,1
3 Series,2014,48951,Automatic,30784,Diesel,152,30.2,4.4,9,1,0,0,Diesel,2,0,0,1,0
7 Series,2017,45598,Semi-Auto,45221,Petrol,289,50.8,2.5,6,0,0,1,Petrol,6,2,4,1,1
X1,2014,75416,Semi-Auto,22378,Diesel,223,29.2,2.5,9,0,0,1,Diesel,7,2,0,2,0
1 Series,2018,39113,Automatic,5696,Diesel,118,40.8,2.5,5,1,0,0,Diesel,0,0,0,1,1
X1,2020,3000,Manual,94531,Diesel,213,24.4,2.5,3,0,1,0,Diesel,7,1,0,0,1
3 Series,2015,76411,Automatic,35635,Diesel,52,35.4,3.5,8,1,0,0,Diesel,2,0,0,2,1
1 Series,2017,3000,Semi-Auto,127489,Petrol,219,23.1,2.5,6,0,0,1,Petrol,0,2,4,0,1
X4,2019,13089,Automatic,59543,Other,242,31.3,2.5,4,1,0,0,Other,10,0,3,0,1
